Guideline,Section,Topic,Control identifier,Control description
Guidelines for Software Development,Web application development,Web application programming interfaces,1851,The OWASP API Security Top 10 are mitigated in the development of web APIs.
Guidelines for Software Development,Web application development,Web application input handling,1240,Validation or sanitisation is performed on all input handled by web applications.
Guidelines for Software Development,Web application development,Web application output encoding,1241,Output encoding is performed on all output produced by web applications.
Guidelines for Software Development,Web application development,Web browser-based controls,1424,"Web applications implement Content-Security-Policy, HSTS and X-Frame-Options via security policy in response headers."
Guidelines for Software Development,Web application development,Web application event logging,1536,"The following events are logged for web applications: attempted access that is denied, crashes and error messages, and search queries initiated by users."
Guidelines for Software Development,Web application development,Web application event logging,1757,Web application event logs are stored centrally.
Guidelines for Database Systems,Database servers,Functional separation between database servers and web servers,1269,Database servers and web servers are functionally separated.
Guidelines for Database Systems,Database servers,Communications between database servers and web servers,1277,Data communicated between database servers and web servers is encrypted.
Guidelines for Database Systems,Database servers,Network environment,1270,Database servers are placed on a different network segment to user workstations.
Guidelines for Database Systems,Database servers,Network environment,1271,"Network access controls are implemented to restrict database server communications to strictly defined network resources, such as web servers, application servers and storage area networks."
Guidelines for Database Systems,Database servers,Network environment,1272,"If only local access to a database is required, networking functionality of database management system software is disabled or directed to listen solely to the localhost interface."
Guidelines for Database Systems,Database servers,"Separation of development, testing and production database servers",1273,Development and testing environments do not use the same database servers as production environments.
Guidelines for Database Systems,Databases,Database register,1243,"A database register is developed, implemented, maintained and verified on a regular basis."
Guidelines for Database Systems,Databases,Protecting databases,1256,File-based access controls are applied to database files.
Guidelines for Database Systems,Databases,Protecting database contents,0393,Databases and their contents are classified based on the sensitivity or classification of data that they contain.
Guidelines for Database Systems,Databases,Protecting database contents,1255,"Database users’ ability to access, insert, modify and remove database contents is restricted based on their work duties."
Guidelines for Database Systems,Databases,Protecting database contents,1268,"The need-to-know principle is enforced for database contents through the application of minimum privileges, database views and database roles."
Guidelines for Database Systems,Databases,"Separation of development, testing and production databases",1274,Database contents from production environments are not used in development or testing environments unless the environment is secured to the same level as the production environment.
Guidelines for Database Systems,Databases,Web application interaction with databases,1275,All queries to databases from web applications are filtered for legitimate content and correct syntax.
Guidelines for Database Systems,Databases,Web application interaction with databases,1276,"Parameterised queries or stored procedures, instead of dynamically generated queries, are used for database interactions."
Guidelines for Database Systems,Databases,Web application interaction with databases,1278,Web applications are designed or configured to provide as little error information as possible about the structure of databases.
Guidelines for Database Systems,Databases,Database event logging,1537,"The following events are logged for databases:
• access or modification of particularly important content
• addition of new users, especially privileged users
• changes to user roles or privileges
• attempts to elevate user privileges
• queries containing comments
• queries containing multiple embedded queries
• database and query alerts or failures
• database structure changes
• database administrator actions
• use of executable commands
• database logons and logoffs."
Guidelines for Database Systems,Databases,Database event logging,1758,Database event logs are stored centrally.
Guidelines for Email,Email usage,Email usage policy,0264,"An email usage policy is developed, implemented and maintained."
Guidelines for Email,Email usage,Webmail services,0267,Access to non-approved webmail services is blocked.
Guidelines for Email,Email usage,Protective markings for emails,0270,"Protective markings are applied to emails and reflect the highest sensitivity or classification of the subject, body and attachments."
Guidelines for Email,Email usage,Protective marking tools,0271,Protective marking tools do not automatically insert protective markings into emails.
Guidelines for Email,Email usage,Protective marking tools,0272,"Protective marking tools do not allow users to select protective markings that a system has not been authorised to process, store or communicate."
Guidelines for Email,Email usage,Protective marking tools,1089,Protective marking tools do not allow users replying to or forwarding emails to select protective markings lower than previously used.
Guidelines for Email,Email usage,"Handling emails with inappropriate, invalid or missing protective markings",0565,"Email servers are configured to block, log and report emails with inappropriate protective markings."
Guidelines for Email,Email usage,"Handling emails with inappropriate, invalid or missing protective markings",1023,"The intended recipients of blocked inbound emails, and the senders of blocked outbound emails, are notified."
Guidelines for Email,Email gateways and servers,Centralised email gateways,0569,Emails are routed via centralised email gateways.
Guidelines for Email,Email gateways and servers,Centralised email gateways,0571,"When users send or receive emails, an authenticated and encrypted channel is used to route emails via their organisation’s centralised email gateways."
Guidelines for Email,Email gateways and servers,Email gateway maintenance activities,0570,"Where backup or alternative email gateways are in place, they are maintained at the same standard as the primary email gateway."
Guidelines for Email,Email gateways and servers,Open relay email servers,0567,Email servers only relay emails destined for or originating from their domains (including subdomains).
Guidelines for Email,Email gateways and servers,Email server transport encryption,0572,Opportunistic TLS encryption is enabled on email servers that make incoming or outgoing email connections over public network infrastructure.
Guidelines for Email,Email gateways and servers,Email server transport encryption,1589,MTA-STS is enabled to prevent the unencrypted transfer of emails between complying servers.
Guidelines for Email,Email gateways and servers,Sender Policy Framework,0574,SPF is used to specify authorised email servers (or lack thereof) for all domains (including subdomains).
Guidelines for Email,Email gateways and servers,Sender Policy Framework,1183,A hard fail SPF record is used when specifying authorised email servers (or lack thereof) for all domains (including subdomains).
Guidelines for Email,Email gateways and servers,Sender Policy Framework,1151,SPF is used to verify the authenticity of incoming emails.
Guidelines for Email,Email gateways and servers,DomainKeys Identified Mail,0861,DKIM signing is enabled on emails originating from an organisation’s domains (including subdomains).
Guidelines for Email,Email gateways and servers,DomainKeys Identified Mail,1026,DKIM signatures on received emails are verified.
Guidelines for Email,Email gateways and servers,DomainKeys Identified Mail,1027,Email distribution list software used by external senders is configured such that it does not break the validity of the sender’s DKIM signature.
Guidelines for Email,Email gateways and servers,"Domain-based Message Authentication, Reporting and Conformance",1540,DMARC records are configured for all domains (including subdomains) such that emails are rejected if they do not pass DMARC checks.
Guidelines for Email,Email gateways and servers,"Domain-based Message Authentication, Reporting and Conformance",1799,Incoming emails are rejected if they do not pass DMARC checks.
Guidelines for Email,Email gateways and servers,Email content filtering,1234,Email content filtering is implemented to filter potentially harmful content in email bodies and attachments.
Guidelines for Email,Email gateways and servers,Blocking suspicious emails,1502,"Emails arriving via an external connection where the email source address uses an internal domain, or internal subdomain, are blocked at the email gateway."
Guidelines for Email,Email gateways and servers,Notifications of undeliverable emails,1024,Notifications of undeliverable emails are only sent to senders that can be verified via SPF or other trusted means.
Guidelines for Networking,Network design and configuration,Network documentation,0518,"Network documentation is developed, implemented, maintained."
Guidelines for Networking,Network design and configuration,Network documentation,0516,"Network documentation includes high-level network diagrams showing all connections into networks and logical network diagrams showing all critical servers, high-value servers, network devices and network security appliances."
Guidelines for Networking,Network design and configuration,Network documentation,1178,"Network documentation provided to a third party, or published in public tender documentation, only contains details necessary for other parties to undertake contractual services."
Guidelines for Networking,Network design and configuration,Network encryption,1781,All data communicated over network infrastructure is encrypted.
Guidelines for Networking,Network design and configuration,Network segmentation and segregation,1181,"Networks are segregated into multiple network zones according to the criticality of servers, services and data."
Guidelines for Networking,Network design and configuration,Network segmentation and segregation,1577,An organisation’s networks are segregated from their service providers’ networks.
Guidelines for Networking,Network design and configuration,Using Virtual Local Area Networks,1532,VLANs are not used to separate network traffic between an organisation’s networks and public network infrastructure.
Guidelines for Networking,Network design and configuration,Using Virtual Local Area Networks,0529,VLANs are not used to separate network traffic between networks belonging to different security domains.
Guidelines for Networking,Network design and configuration,Using Virtual Local Area Networks,0530,Network devices managing VLANs are administered from the most trusted security domain.
Guidelines for Networking,Network design and configuration,Using Virtual Local Area Networks,0535,Network devices managing VLANs belonging to different security domains do not share VLAN trunks.
Guidelines for Networking,Network design and configuration,Using Virtual Local Area Networks,1364,Network devices managing VLANs terminate VLANs belonging to different security domains on separate physical network interfaces.
Guidelines for Networking,Network design and configuration,Using Internet Protocol version 6,0521,IPv6 functionality is disabled in dual-stack network devices unless it is being used.
Guidelines for Networking,Network design and configuration,Using Internet Protocol version 6,1186,IPv6 capable network security appliances are used on IPv6 and dual-stack networks.
Guidelines for Networking,Network design and configuration,Using Internet Protocol version 6,1428,"Unless explicitly required, IPv6 tunnelling is disabled on all network devices."
Guidelines for Networking,Network design and configuration,Using Internet Protocol version 6,1429,IPv6 tunnelling is blocked by network security appliances at externally-connected network boundaries.
Guidelines for Networking,Network design and configuration,Using Internet Protocol version 6,1430,Dynamically assigned IPv6 addresses are configured with Dynamic Host Configuration Protocol version 6 in a stateful manner with lease data stored in a centralised event logging facility.
Guidelines for Networking,Network design and configuration,Network access controls,0520,Network access controls are implemented on networks to prevent the connection of unauthorised network devices.
Guidelines for Networking,Network design and configuration,Network access controls,1182,Network access controls are implemented to limit network traffic within and between network segments to only those required for business purposes.
Guidelines for Networking,Network design and configuration,Functional separation between servers,0385,Servers maintain effective functional separation with other servers allowing them to operate independently.
Guidelines for Networking,Network design and configuration,Functional separation between servers,1479,Servers minimise communications with other servers at both the network and file system level.
Guidelines for Networking,Network design and configuration,Network management traffic,1006,Security measures are implemented to prevent unauthorised access to network management traffic.
Guidelines for Networking,Network design and configuration,Use of Simple Network Management Protocol,1311,SNMP version 1 and SNMP version 2 are not used on networks.
Guidelines for Networking,Network design and configuration,Use of Simple Network Management Protocol,1312,All default SNMP community strings on network devices are changed and write access is disabled.
Guidelines for Networking,Network design and configuration,Using Network-based Intrusion Detection and Prevention Systems,1028,A NIDS or NIPS is deployed in gateways between an organisation’s networks and other networks they do not manage.
Guidelines for Networking,Network design and configuration,Using Network-based Intrusion Detection and Prevention Systems,1030,A NIDS or NIPS is located immediately inside the outermost firewall for gateways and configured to generate event logs and alerts for network traffic that contravenes any rule in a firewall ruleset.
Guidelines for Networking,Network design and configuration,Blocking anonymity network traffic,1627,Inbound network connections from anonymity networks to internet-facing services are blocked.
Guidelines for Networking,Network design and configuration,Blocking anonymity network traffic,1628,Outbound network connections to anonymity networks are blocked.
Guidelines for Networking,Network design and configuration,Protective Domain Name System Services,1782,A protective DNS service is used to block access to known malicious domain names.
Guidelines for Networking,Network design and configuration,Flashing network devices with trusted firmware before first use,1800,Network devices are flashed with trusted firmware before they are used for the first time.
Guidelines for Networking,Network design and configuration,Default accounts and credentials for network devices,1304,"Default accounts or credentials for network devices including for any pre-configured accounts, are changed."
Guidelines for Networking,Network design and configuration,Disabling unused physical ports on network devices,0534,Unused physical ports on network devices are disabled.
Guidelines for Networking,Network design and configuration,Regularly restarting network devices,1801,Network devices are restarted on at least a monthly basis.
Guidelines for Networking,Wireless networks,Choosing wireless devices,1314,All wireless devices are Wi-Fi Alliance certified.
Guidelines for Networking,Wireless networks,Public wireless networks,0536,Public wireless networks provided for general public use are segregated from all other organisation networks.
Guidelines for Networking,Wireless networks,Administrative interfaces for wireless access points,1315,The administrative interface on wireless access points is disabled for wireless network connections.
Guidelines for Networking,Wireless networks,Default settings,1710,Configuration settings for wireless access points are hardened.
Guidelines for Networking,Wireless networks,Default settings,1316,Default SSIDs of wireless access points are changed.
Guidelines for Networking,Wireless networks,Default settings,1317,"SSIDs of non-public wireless networks are not readily associated with an organisation, the location of their premises or the functionality of wireless networks."
Guidelines for Networking,Wireless networks,Default settings,1318,SSID broadcasting is not disabled on wireless access points.
Guidelines for Networking,Wireless networks,Media Access Control address filtering,1320,MAC address filtering is not used to restrict which devices can connect to wireless networks.
Guidelines for Networking,Wireless networks,Static addressing,1319,Static addressing is not used for assigning IP addresses on wireless networks.
Guidelines for Networking,Wireless networks,Confidentiality and integrity of wireless network traffic,1332,WPA3-Enterprise 192-bit mode is used to protect the confidentiality and integrity of all wireless network traffic.
Guidelines for Networking,Wireless networks,802.1X authentication,1321,"802.1X authentication with EAP-TLS, using X.509 certificates, is used for mutual authentication; with all other EAP methods disabled on supplications and authentication servers."
Guidelines for Networking,Wireless networks,802.1X authentication,1711,User identity confidentiality is used if available with EAP-TLS implementations.
Guidelines for Networking,Wireless networks,Evaluation of 802.1X authentication implementation,1322,"Evaluated supplicants, authenticators, wireless access points and authentication servers are used in wireless networks."
Guidelines for Networking,Wireless networks,Generating and issuing certificates for authentication,1324,Certificates are generated using an evaluated certificate authority or hardware security module.
Guidelines for Networking,Wireless networks,Generating and issuing certificates for authentication,1323,Certificates are required for both devices and users accessing wireless networks.
Guidelines for Networking,Wireless networks,Generating and issuing certificates for authentication,1327,"Certificates are protected by encryption, user authentication, and both logical and physical access controls."
Guidelines for Networking,Wireless networks,Caching 802.1X authentication outcomes,1330,The PMK caching period is not set to greater than 1440 minutes (24 hours).
Guidelines for Networking,Wireless networks,Fast Basic Service Set Transition,1712,The use of FT (802.11r) is disabled unless authenticator-to-authenticator communications are secured by an ASD-Approved Cryptographic Protocol.
Guidelines for Networking,Wireless networks,Remote Authentication Dial-In User Service authentication,1454,Communications between authenticators and a RADIUS server are encapsulated with an additional layer of encryption using RADIUS over Internet Protocol Security or RADIUS over Transport Layer Security.
Guidelines for Networking,Wireless networks,Interference between wireless networks,1334,Wireless networks implement sufficient frequency separation from other wireless networks.
Guidelines for Networking,Wireless networks,Protecting management frames on wireless networks,1335,Wireless access points enable the use of the 802.11w amendment to protect management frames.
Guidelines for Networking,Wireless networks,Wireless network footprint,1338,"Instead of deploying a small number of wireless access points that broadcast on high power, a greater number of wireless access points that use less broadcast power are deployed to achieve the desired footprint for wireless networks."
Guidelines for Networking,Service continuity for online services,Cloud-based hosting of online services,1437,Cloud service providers are used for hosting online services.
Guidelines for Networking,Service continuity for online services,Location policies for online services,1578,An organisation is notified by cloud service providers of any change to configured regions or availability zones for online services.
Guidelines for Networking,Service continuity for online services,Availability planning and monitoring for online services,1579,Cloud service providers’ ability to dynamically scale resources due to a genuine spike in demand or a denial-of-service attack is tested as part of capacity planning processes for online services.
Guidelines for Networking,Service continuity for online services,Availability planning and monitoring for online services,1580,"Where a high availability requirement exists for online services, the services are architected to automatically transition between availability zones."
Guidelines for Networking,Service continuity for online services,Availability planning and monitoring for online services,1441,"Where a requirement for high availability exists for online services, a denial of service mitigation service is used."
Guidelines for Networking,Service continuity for online services,Availability planning and monitoring for online services,1581,Continuous real-time monitoring of the availability of online services is performed.
Guidelines for Networking,Service continuity for online services,Using content delivery networks,1438,"Where a high availability requirement exists for website hosting, CDNs that cache websites are used."
Guidelines for Networking,Service continuity for online services,Using content delivery networks,1439,"If using CDNs, disclosing the IP addresses of web servers under an organisation’s control (referred to as origin servers) is avoided and access to the origin servers is restricted to the CDNs and authorised management networks."
Guidelines for Networking,Service continuity for online services,Denial of service strategies,1431,"Denial-of-service attack mitigation strategies are discussed with cloud service providers, specifically:
• their capacity to withstand denial-of-service attacks
• any costs likely to be incurred as a result of denial-of-service attacks
• thresholds for notification of denial-of-service attacks
• thresholds for turning off online services during denial-of-service attacks
• pre-approved actions that can be undertaken during denial-of-service attacks
• any arrangements with upstream service providers to block malicious network traffic as far upstream as possible."
Guidelines for Networking,Service continuity for online services,Denial of service strategies,1458,"The functionality and quality of online services, how to maintain such functionality, and what functionality can be lived without during a denial-of-service attack, are determined and documented."
Guidelines for Networking,Service continuity for online services,Domain name registrar locking,1432,Domain names for online services are protected via registrar locking and confirming domain registration details are correct.
Guidelines for Networking,Service continuity for online services,Monitoring with real-time alerting for online services,1435,Availability monitoring with real-time alerting is implemented for online services to detect denial-of-service attacks and measure their impact.
Guidelines for Networking,Service continuity for online services,Segregation of critical online services,1436,Critical online services are segregated from other online services that are more likely to be targeted.
Guidelines for Networking,Service continuity for online services,Preparing for service continuity,1518,A static version of a website is pre-prepared that requires minimal processing and bandwidth in order to facilitate at least a basic level of service when under a denial-of-service attack.
Guidelines for Cryptography,Cryptographic fundamentals,Cryptographic key management processes and procedures,0507,"Cryptographic key management processes, and supporting cryptographic key management procedures, are developed, implemented and maintained."
Guidelines for Cryptography,Cryptographic fundamentals,Encrypting data at rest,1080,An ASD-Approved Cryptographic Algorithm (AACA) or high assurance cryptographic algorithm is used when encrypting media.
Guidelines for Cryptography,Cryptographic fundamentals,Encrypting data at rest,0457,Cryptographic equipment or software that has completed a Common Criteria evaluation against a Protection Profile is used when encrypting media that contains OFFICIAL: Sensitive or PROTECTED data.
Guidelines for Cryptography,Cryptographic fundamentals,Encrypting data at rest,0459,"Full disk encryption, or partial encryption where access controls will only allow writing to the encrypted partition, is implemented when encrypting data at rest."
Guidelines for Cryptography,Cryptographic fundamentals,Encrypting data in transit,0469,An ASD-Approved Cryptographic Protocol (AACP) or high assurance cryptographic protocol is used to protect data when communicated over network infrastructure.
Guidelines for Cryptography,Cryptographic fundamentals,Encrypting data in transit,0465,"Cryptographic equipment or software that has completed a Common Criteria evaluation against a Protection Profile is used to protect OFFICIAL: Sensitive or PROTECTED data when communicated over insufficiently secure networks, outside of appropriately secure areas or via public network infrastructure."
Guidelines for Cryptography,Cryptographic fundamentals,Data recovery,0455,"Where practical, cryptographic equipment and software provides a means of data recovery to allow for circumstances where the encryption key is unavailable due to loss, damage or failure."
Guidelines for Cryptography,Cryptographic fundamentals,Handling encrypted ICT equipment and media,0462,"When a user authenticates to the encryption functionality of ICT equipment or media, it is treated in accordance with its original sensitivity or classification until the user deauthenticates from the encryption functionality."
Guidelines for Cryptography,Cryptographic fundamentals,Transporting cryptographic equipment,0501,Keyed cryptographic equipment is transported based on the sensitivity or classification of its keying material.
Guidelines for Cryptography,Cryptographic fundamentals,Reporting cryptographic-related cyber security incidents,0142,"The compromise or suspected compromise of cryptographic equipment or associated keying material is reported to an organisation’s Chief Information Security Officer, or one of their delegates, as soon as possible after it occurs."
Guidelines for Cryptography,Cryptographic fundamentals,Reporting cryptographic-related cyber security incidents,1091,Keying material is changed when compromised or suspected of being compromised.
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Using ASD-Approved Cryptographic Algorithms,0471,Only AACAs or high assurance cryptographic algorithms are used by cryptographic equipment and software.
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Asymmetric/public key algorithms,0994,ECDH and ECDSA are used in preference to DH and DSA.
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Using Diffie-Hellman,0472,"When using DH for agreeing on encryption session keys, a modulus of at least 2048 bits is used, preferably 3072 bits."
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Using Diffie-Hellman,1629,"When using DH for agreeing on encryption session keys, a modulus and associated parameters are selected according to NIST SP 800-56A Rev. 3."
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Using the Digital Signature Algorithm,0473,"When using DSA for digital signatures, a modulus of at least 2048 bits is used."
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Using the Digital Signature Algorithm,1630,"When using DSA for digital signatures, a modulus and associated parameters are generated according to FIPS 186-4."
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Using Elliptic Curve Cryptography,1446,"When using elliptic curve cryptography, a curve from FIPS 186-4 is used."
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Using Elliptic Curve Diffie-Hellman,0474,"When using ECDH for agreeing on encryption session keys, a base point order and key size of at least 224 bits is used, preferably the NIST P-384 curve."
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Using the Elliptic Curve Digital Signature Algorithm,0475,"When using ECDSA for digital signatures, a base point order and key size of at least 224 bits is used, preferably the P-384 curve."
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Using Rivest-Shamir-Adleman,0476,"When using RSA for digital signatures, and passing encryption session keys or similar keys, a modulus of at least 2048 bits is used, preferably 3072 bits."
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Using Rivest-Shamir-Adleman,0477,"When using RSA for digital signatures, and for passing encryption session keys or similar keys, a different key pair is used for digital signatures and passing encrypted session keys."
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Using hashing algorithms,1766,"When using SHA-2 for hashing, an output size of at least 224 bits is used, preferably SHA-384."
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Using symmetric encryption algorithms,1769,"When using AES for encryption, AES-128, AES-192 or AES-256 is used, preferably AES-256."
Guidelines for Cryptography,ASD-Approved Cryptographic Algorithms,Using symmetric encryption algorithms,0479,Symmetric cryptographic algorithms are not used in Electronic Codebook Mode.
Guidelines for Cryptography,ASD-Approved Cryptographic Protocols,Using ASD-Approved Cryptographic Protocols,0481,Only AACPs or high assurance cryptographic protocols are used by cryptographic equipment and software.
Guidelines for Cryptography,Transport Layer Security,Configuring Transport Layer Security,1139,Only the latest version of TLS is used for TLS connections.
Guidelines for Cryptography,Transport Layer Security,Configuring Transport Layer Security,1369,AES-GCM is used for encryption of TLS connections.
Guidelines for Cryptography,Transport Layer Security,Configuring Transport Layer Security,1370,Only server-initiated secure renegotiation is used for TLS connections.
Guidelines for Cryptography,Transport Layer Security,Configuring Transport Layer Security,1372,DH or ECDH is used for key establishment of TLS connections.
Guidelines for Cryptography,Transport Layer Security,Configuring Transport Layer Security,1448,"When using DH or ECDH for key establishment of TLS connections, the ephemeral variant is used."
Guidelines for Cryptography,Transport Layer Security,Configuring Transport Layer Security,1373,Anonymous DH is not used for TLS connections.
Guidelines for Cryptography,Transport Layer Security,Configuring Transport Layer Security,1374,SHA-2-based certificates are used for TLS connections.
Guidelines for Cryptography,Transport Layer Security,Configuring Transport Layer Security,1375,SHA-2 is used for the Hash-based Message Authentication Code (HMAC) and pseudorandom function (PRF) for TLS connections.
Guidelines for Cryptography,Transport Layer Security,Configuring Transport Layer Security,1553,TLS compression is disabled for TLS connections.
Guidelines for Cryptography,Transport Layer Security,Configuring Transport Layer Security,1453,Perfect Forward Secrecy (PFS) is used for TLS connections.
Guidelines for Cryptography,Secure Shell,Configuring Secure Shell,1506,The use of SSH version 1 is disabled for SSH connections.
Guidelines for Cryptography,Secure Shell,Configuring Secure Shell,0484,"The SSH daemon is configured to:
• only listen on the required interfaces (ListenAddress xxx.xxx.xxx.xxx)
• have a suitable login banner (Banner x)
• have a login authentication timeout of no more than 60 seconds (LoginGraceTime 60)
• disable host-based authentication (HostbasedAuthentication no)
• disable rhosts-based authentication (IgnoreRhosts yes)
• disable the ability to login directly as root (PermitRootLogin no)
• disable empty passwords (PermitEmptyPasswords no)
• disable connection forwarding (AllowTCPForwarding no)
• disable gateway ports (GatewayPorts no)
• disable X11 forwarding (X11Forwarding no)."
Guidelines for Cryptography,Secure Shell,Authentication mechanisms,0485,Public key-based authentication is used for SSH connections.
Guidelines for Cryptography,Secure Shell,Authentication mechanisms,1449,SSH private keys are protected with a passphrase or a key encryption key.
Guidelines for Cryptography,Secure Shell,Automated remote access,0487,"When using logins without a passphrase for SSH connections, the following are disabled:
• access from IP addresses that do not require access
• port forwarding
• agent credential forwarding
• X11 display remoting
• console access."
Guidelines for Cryptography,Secure Shell,Automated remote access,0488,"If using remote access without the use of a passphrase for SSH connections, the ‘forced command’ option is used to specify what command is executed and parameter checking is enabled."
Guidelines for Cryptography,Secure Shell,SSH-agent,0489,"When SSH-agent or similar key caching programs are used, it is limited to workstations and servers with screen locks and key caches that are set to expire within four hours of inactivity."
Guidelines for Cryptography,Secure/Multipurpose Internet Mail Extension,Configuring Secure/Multipurpose Internet Mail Extension,0490,Versions of S/MIME earlier than S/MIME version 3.0 are not used for S/MIME connections.
Guidelines for Cryptography,Internet Protocol Security,Mode of operation,0494,"Tunnel mode is used for IPsec connections; however, if using transport mode, an IP tunnel is used."
Guidelines for Cryptography,Internet Protocol Security,Protocol selection,0496,The ESP protocol is used for authentication and encryption of IPsec connections.
Guidelines for Cryptography,Internet Protocol Security,Key exchange,1233,IKE version 2 is used for key exchange when establishing IPsec connections.
Guidelines for Cryptography,Internet Protocol Security,Encryption algorithms,1771,"AES is used for encrypting IPsec connections, preferably ENCR_AES_GCM_16."
Guidelines for Cryptography,Internet Protocol Security,Pseudorandom function algorithms,1772,"PRF_HMAC_SHA2_256, PRF_HMAC_SHA2_384 or PRF_HMAC_SHA2_512 is used for IPsec connections, preferably PRF_HMAC_SHA2_512."
Guidelines for Cryptography,Internet Protocol Security,Integrity algorithms,0998,"AUTH_HMAC_SHA2_256_128, AUTH_HMAC_SHA2_384_192, AUTH_HMAC_SHA2_512_256 or NONE (only with AES-GCM) is used for authenticating IPsec connections, preferably NONE."
Guidelines for Cryptography,Internet Protocol Security,Diffie-Hellman groups,0999,"DH or ECDH is used for key establishment of IPsec connections, preferably 384-bit random ECP group, 3072-bit MODP Group or 4096-bit MODP Group."
Guidelines for Cryptography,Internet Protocol Security,Security association lifetimes,0498,A security association lifetime of less than four hours (14400 seconds) is used for IPsec connections.
Guidelines for Cryptography,Internet Protocol Security,Perfect Forward Secrecy,1000,PFS is used for IPsec connections.
Guidelines for Gateways,Gateways,Implementing gateways,0628,Gateways are implemented between networks belonging to different security domains.
Guidelines for Gateways,Gateways,Implementing gateways,0637,Gateways implement a demilitarised zone if external parties require access to an organisation’s services.
Guidelines for Gateways,Gateways,Implementing gateways,0631,Gateways only allow explicitly authorised data flows.
Guidelines for Gateways,Gateways,Implementing gateways,1192,Gateways inspect and filter data flows at the transport and above network layers.
Guidelines for Gateways,Gateways,Implementing gateways,1427,Gateways perform ingress traffic filtering to detect and prevent IP source address spoofing.
Guidelines for Gateways,Gateways,System administrators for gateways,1520,"System administrators for gateways undergo appropriate employment screening and, where necessary, hold an appropriate security clearance based on the sensitivity or classification of gateways."
Guidelines for Gateways,Gateways,System administrators for gateways,0611,System administrators for gateways are assigned the minimum privileges required to perform their duties.
Guidelines for Gateways,Gateways,System administrators for gateways,0616,Separation of duties is implemented in performing administrative activities for gateways.
Guidelines for Gateways,Gateways,System administrators for gateways,0612,System administrators for gateways are formally trained on the operation and management of gateways.
Guidelines for Gateways,Gateways,System administration of gateways,1774,Gateways are managed via a secure path isolated from all connected networks.
Guidelines for Gateways,Gateways,System administration of gateways,0629,"For gateways between networks belonging to different security domains, any shared components are managed by system administrators for the higher security domain or by system administrators from a mutually-agreed third party."
Guidelines for Gateways,Gateways,Authenticating to networks accessed via gateways,0619,Users authenticate to other networks accessed via gateways.
Guidelines for Gateways,Gateways,Authenticating to networks accessed via gateways,0622,ICT equipment authenticates to other networks accessed via gateways.
Guidelines for Gateways,Gateways,Border Gateway Protocol route security,1783,"Public IP addresses controlled by, or used by, an organisation are signed by valid ROA records."
Guidelines for Gateways,Gateways,Gateway event logging and alerting,0634,"The following events are logged for gateways:
• data packets and data flows permitted through gateways
• data packets and data flows attempting to leave gateways
• real-time alerts for attempted intrusions."
Guidelines for Gateways,Gateways,Gateway event logging and alerting,1775,Gateway event logs are stored centrally.
Guidelines for Gateways,Gateways,Assessment of gateways,1037,"Gateways undergo testing following configuration changes, and at regular intervals no more than six months apart, to validate they conform to expected security configurations."
Guidelines for Gateways,Gateways,Assessment of gateways,0100,Gateways undergo a security assessment by an IRAP assessor at least every 24 months.
Guidelines for Gateways,Firewalls,Using firewalls,1528,Evaluated firewalls are used between an organisation’s networks and public network infrastructure.
Guidelines for Gateways,Firewalls,Using firewalls,0639,Evaluated firewalls are used between networks belonging to different security domains.
Guidelines for Gateways,Diodes,Using diodes,0643,Evaluated diodes are used for controlling the data flow of unidirectional gateways between an organisation’s networks and public network infrastructure.
Guidelines for Gateways,Diodes,Using diodes,1157,Evaluated diodes are used for controlling the data flow of unidirectional gateways between networks.
Guidelines for Gateways,Web proxies,Web usage policy,0258,"A web usage policy is developed, implemented and maintained."
Guidelines for Gateways,Web proxies,Using web proxies,0260,"All web access, including that by internal servers, is conducted through web proxies."
Guidelines for Gateways,Web proxies,Web proxy event logging,0261,"The following details are logged for websites accessed via web proxies:
• address
• date and time
• user
• amount of data uploaded and downloaded
• internal and external IP addresses."
Guidelines for Gateways,Web proxies,Web proxy event logging,1777,Web proxy event logs are stored centrally.
Guidelines for Gateways,Web content filters,Using web content filters,0963,Web content filtering is implemented to filter potentially harmful web-based content.
Guidelines for Gateways,Web content filters,Using web content filters,0961,Client-side active content is restricted by web content filters to an organisation-approved list of domain names.
Guidelines for Gateways,Web content filters,Using web content filters,1237,Web content filtering is applied to outbound web traffic where appropriate.
Guidelines for Gateways,Web content filters,Transport Layer Security filtering,0263,TLS traffic communicated through gateways is decrypted and inspected.
