control,question,answer
ISM-1633,	What are some examples of types of systems?,Examples include: ISM-1633
ISM-1634,	What are some examples of controls used by system owners to protect systems and their resources?,"Examples include access control, data encryption, network segmentation, etc ISM-1634"
ISM-1635,	What are some examples of controls that can be used by system owners to protect systems and their resources?,"Examples include access control, data encryption, network segmentation, etc ISM-1635"
ISM-1636,What are some examples of control descriptions?,"Examples include ensuring systems are configured securely, monitoring access logs, implementing strong authentication mechanisms, etc ISM-1636"
ISM-1636,	What does it mean by systems?,"Systems refer to any hardware or software used in performing tasks such as computers, servers, networks etc ISM-1636"
ISM-1637,	What are some examples of managed services and cloud services?,"Managed Services include IT infrastructure management, network monitoring, data backup and recovery, help desk support, and disaster recovery planning. Cloud services provide access to software applications over the internet without having to install them locally ISM-1637"
ISM-1637,What are some of the benefits of using an outsourced cloud service registry?,Outsourcing your cloud services can help you save time and money by allowing you to focus on other areas of your business while still maintaining control over your data. ISM-1637
ISM-1638,What are some of the benefits of using an outsourced cloud service?,"Outsourcing your IT services can help you save time and money, as well as improve efficiency by allowing you to focus on core business activities. ISM-1638"
ISM-1638,	What are some examples of managed services and cloud services?,"Managed Services include IT infrastructure management, network monitoring, help desk support, application hosting, storage management, disaster recovery planning, and more. Cloud services provide access to software applications over the internet on demand without having to install them locally. ISM-1638"
ISM-1640,What does labelled mean? ,Labelled means marked with words or symbols - ISM-1640
ISM-1641,	What are some methods used in data destruction?,"Some methods used in data destruction include shredding, degaussing, incineration, pulverization, and crushing ISM-1641"
ISM-1641,What does deformed mean? ,Deformation refers to physical damage caused on magnetic media when it has been exposed to strong magnets or electromagnetic fields - ISM-1641
ISM-1642,How can you sanitize media before reuse?,You can sanitise media by wiping or degaussing it using approved methods ISM-1642
ISM-1643,	What are software registers used for in system management?,"Software registers are used to keep track of version numbers and patch history of various components such as application, driver, OS and firmware ISM-1643"
ISM-1643,What are software registers?,"Software registers contain versions and patch histories of applications, drivers, operating systems and firmware ISM-1643"
ISM-1644,What precautions should be taken when conducting sensitive or classified phone calls?,"When conducting sensitive or classified phone calls, it's important to take steps to ensure your conversation cannot be overheard by others. This includes avoiding public places and using headphones if necessary. ISM-1644"
ISM-1645,What does Floor Plan Diagrams mean?,A floor plan diagram shows the layout of a building or room with dimensions and other details such as furniture placement ISM-1645
ISM-1646,	What are some examples of cabling infrastructures?,"Some examples of cabling infrastructures include copper cables, fiber optics, wireless networks, and power lines ISM-1646"
ISM-1647,	What are some examples of suspending access to systems or services?,"Examples include disabling accounts, revoking permissions, locking out users from accessing certain areas, etc ISM-1647"
ISM-1647,What happens if privilege access isn't re-enabled within 12 months?,The user will be unable to log into any system or application until their privileges are manually restored by an administrator ISM-1647
ISM-1648,What happens if my privilege is not used for more than 45 days?,Your privilege will be automatically disabled. ISM-1648
ISM-1648,	What are some examples of suspending access to systems or services?,"Examples include disabling accounts, locking out users from accessing certain areas, restricting access to specific data, etc ISM-1648"
ISM-1649,	What are some ways in which privilege can be managed on a system?,	Privileges can be managed by using just-in-time administration or least privilege. ISM-1649
ISM-1649,What is just-in-time administration?,Just-in-time administration is used for administering systems and applications ISM-1649
ISM-1650,What type of event is logged? ,Privileged account and group management events - ISM-1650
ISM-1651,Where can I find privileged access event logs? ,They are stored on the central server - ISM-1651
ISM-1651,Where can I find privileged access event logs? ,The privileged access event logs are stored centrally on the server - ISM-1651
ISM-1653,What does it mean when a privileged account is restricted?,A privileged account is restricted if it cannot access certain resources such as the Internet or email. ISM-1653
ISM-1654,	What are some ways in which you can secure your computer against malware attacks?,"	Some ways to secure your computer from malware include using antivirus software, keeping all applications up to date, avoid downloading files from untrusted sources, use strong passwords, and keep your firewall enabled ISM-1654"
ISM-1656,How can application control be implemented on non-internet facing servers?,Non internet facing servers are protected by implementing application controls such as restricting access to certain applications or services based on user identity ISM-1656
ISM-1657,What does application control do?,"It restricts the execution of executable files, software libraries, scripts, installers, compiled HTML, HTML apps and control panel applets to an organization approved list ISM-1657"
ISM-1657,	What are some examples of application controls?,Some examples of application controls include: ISM-1657
ISM-1658,What does application control do? ,It restricts the execution of drivers to an organization-approved set - ISM-1658
ISM-1658,	What are some examples of application controls?,"Some examples of application controls include whitelisting, blacklisting, sandboxing, and virtualization ISM-1658"
ISM-1659,What does 'Microsoft's recommended driver block rules' mean?,"It means that all drivers should be blocked from accessing certain websites and services, such as social media or gaming sites ISM-1659"
ISM-1659,	What is application control?,Applications control refers to controlling access to applications on your computer or network. It can help prevent malicious software from running by blocking it at the source ISM-1659
ISM-1660,	What is application control?,	Application Control allows you to specify which applications can run on your computer or network. ISM-1660
ISM-1661,	What is application control?,	Application Control allows you to specify which applications can run on your computer or network. ISM-1661
ISM-1662,	What does this statement mean?,This statement means that all allowed and blocked execution events on non-internet facing servers will be logged ISM-1662
ISM-1663,Where can I find application control event logs? ,The application control event logs are stored centrally on the server - ISM-1663
ISM-1663,How can you ensure application controls are working properly in your operating systems?,Ensure that all applications have been installed from trusted sources and that they are up to date with patches ISM-1663
ISM-1664,What does Blocked PowerShell script execution events mean?,It means that any attempts to execute PowerShell scripts will be blocked and recorded as an event log entry. ISM-1664
ISM-1664,How can you block PowerShell script execution in Windows Server 2019?,You can use the Group Policy Editor to configure blocking PowerShell script execution on your server by enabling the Block all scripts policy setting under Computer Configuration -> Administrative Templates -> System -> Scripts (Windows PowerShell). ISM-1664
ISM-1665,Where can I find my Windows Event Logs? ,"The Windows Event Logs are located on your computer's centralized server, which you can access by using the command prompt and typing eventvwr. - ISM-1665"
ISM-1665,Where can I find my Windows Event Logs? ,"The Windows Event Logs are located on your computer's centralized server, which you can access by using the command prompt or PowerShell. - ISM-1665"
ISM-1665,How can you configure Windows Event Logs in PowerShell?,You can use the Get-WinEvent command to retrieve events from the local computer or remote computers on your network. ISM-1665
ISM-1666,Why doesn't Internet Explorer 11 process content from the internet?,It may be due to a network issue or browser settings. ISM-1666
ISM-1666,	What are some ways in which you can prevent your browser from processing content from the internet?,	You can disable JavaScript or enable clickjack protection on your browser settings ISM-1666
ISM-1667,Why does Microsoft Office block creation of child processes?,"To prevent malicious software from running on your computer, Microsoft blocks applications like Microsoft Office from creating child processes ISM-1667"
ISM-1667,	What are some examples of user application hardening techniques?,"	Some examples include blocking access to certain websites or applications, disabling unnecessary services, restricting administrative privileges, etc ISM-1667"
ISM-1668,	What are some ways in which you can secure your computer against malware attacks?,"	There are many different methods available to protect yourself online such as using antivirus software, keeping all operating systems up to date with patches, avoid clicking on suspicious links or attachments, use strong passwords, and keep personal information private ISM-1668"
ISM-1668,Why does my computer block Microsoft Office from creating executable content?,Your computer blocks Microsoft Office from creating executable content because it may contain malicious code or viruses. ISM-1668
ISM-1669,	What are some ways in which you can secure your computer against malware attacks?,"	There are many different methods available to protect yourself from malicious software such as antivirus programs, firewalls, anti-spyware tools, etc. ISM-1669"
ISM-1670,Why does my PDF software not create any child processes?,"Your PDF software may be blocked by your operating system or security settings, preventing it from creating new processes. ISM-1670"
ISM-1670,	What are some examples of user application hardening techniques?,"	Some examples include blocking unneeded services or ports, disabling unnecessary features, restricting access to sensitive data, limiting privileges, etc ISM-1670"
ISM-1671,What does Microsoft Office macros are disabled mean?,"It means that macros cannot be used by those who don't need them, as they pose security risks and can cause harmful effects on computers ISM-1671"
ISM-1672,How can you prevent malicious code from executing in your computer system?,By using anti-virus software with real time protection capabilities ISM-1672
ISM-1672,Is my computer protected from viruses? ,"Yes, your computer has been configured with Microsoft Office macro virus protection - ISM-1672"
ISM-1673,	What is user application hardening?,User Application Hardening refers to the process of securing applications by reducing vulnerabilities in order to prevent unauthorized access or malicious attacks on systems ISM-1673
ISM-1674,	What does this policy mean?,"This policy means that only Microsoft Office macros running from within a sandboxed environment, a Trusted Location or that are digitally signed by a trusted publisher are allowed to execute ISM-1674"
ISM-1675,How do I enable a macro from an unknown source?,"You can't, as it may contain malicious code and could compromise your system security. ISM-1675"
ISM-1675,	What are some ways in which user applications can be hardened?,"	Some ways in which user applications can be hardened include disabling unnecessary features, restricting access to certain files, limiting privileges, removing unwanted software, and updating regularly ISM-1675"
ISM-1676,What does validated mean? ,Validated means verified as accurate and reliable - ISM-1676
ISM-1676,	What are some ways in which user applications can be hardened?,"	Some ways in which user applications can be hardened include restricting access to sensitive data by using encryption techniques such as hashing algorithms, implementing strong passwords with regular password changes, disabling unused accounts, limiting administrative privileges, and enabling multi-factor authentication ISM-1676"
ISM-1678,How can you prevent malicious code from executing on your computer when using Microsoft office macros?,You can disable all macros in MS Word by going into Tools > Options > Trust Center > Macro Security > Disable All Macros ISM-1678
ISM-1679,What is multi-factor authentication?,Multi-factor authentication (MFA) is a security system that requires more than one method of verification from different categories before granting access to a user. ISM-1679
ISM-1679,	What are some examples of multi-factor authentication?,"Some examples include biometrics (e.g., fingerprint), one time password tokens, smart cards, SMS messages with PIN codes, etc ISM-1679"
ISM-1680,What is multi-factor authentication?,"Multi-factor authentication (MFA), also known as two-step verification, is a security system that requires more than one method of authentication from independent categories of credentials to verify the user's identity for login and access approval. ISM-1680"
ISM-1680,	What are some examples of multi-factor authentication?,"Some examples include using a password along with a fingerprint scan, voice recognition, facial recognition, etc ISM-1680"
ISM-1681,	What are some examples of multi-factor authentication?,"Some examples include biometrics such as fingerprint scanning or facial recognition, SMS verification codes sent via phone number, one time passwords generated on physical tokens, etc ISM-1681"
ISM-1681,What does multi-factor authentication do?,"It adds another layer of security when logging into accounts, requiring more than one method of verification before allowing access ISM-1681"
ISM-1682,	What are some examples of multi-factor authentication?,"Some examples of multi-factor authentication include biometrics such as fingerprints or facial recognition, SMS verification codes, one time passwords (OTP), and hardware tokens ISM-1682"
ISM-1685,What credentials should be used for local admin accounts?,"Long, unique, unpredictable and managed ISM-1685"
ISM-1686,What does Windows Defender Credential Guard do? ,"It protects your credentials by isolating them from malware, preventing attackers from stealing or modifying them - ISM-1686"
ISM-1686,How can you protect your credentials from being stolen by hackers?,Enable two factor authentication on all accounts where possible ISM-1686
ISM-1688,	What are some examples of separate privileged operating environments?,	Some examples include: ISM-1688
ISM-1688,What does unprivileged mean? ,An account with no special permissions or access rights - ISM-1688
ISM-1689,What does this control mean?,"This means privileged accounts, such as domain administrators and service accounts, are not allowed to access non-administrative systems or services. ISM-1689"
ISM-1689,	What are some examples of separate privileged operating environments?,Examples include: ISM-1689
ISM-1690,When should patches and updates be applied?,"Within two weeks of release, or within 48 hours if an exploit exists ISM-1690"
ISM-1690,	When to patch security vulnerabilities?,Security vulnerability patches must be installed as soon as possible after they become available. ISM-1690
ISM-1690,What is the control?,Applying patches and updates to internet facing services ISM-1690
ISM-1691,	When to patch security vulnerabilities?,Security vulnerability patches should be installed as soon as they become available ISM-1691
ISM-1692,	When to patch security vulnerabilities?,Security vulnerability patches should be installed as soon as they become available ISM-1692
ISM-1693,	When to patch security vulnerabilities?,Security vulnerability patches should be installed as soon as possible after they become available ISM-1693
ISM-1693,When should patches and updates be applied? ,Within one month of release - ISM-1693
ISM-1694,	When to patch security vulnerabilities?,Security vulnerability patches must be installed as soon as possible after they become available. ISM-1694
ISM-1695,When should patches be installed? ,Within 2 weeks after their release - ISM-1695
ISM-1695,	When to patch security vulnerabilities?,Security vulnerability patches must be installed as soon as possible after they become available. ISM-1695
ISM-1696,	When to patch security vulnerabilities?,Security vulnerability patches must be installed as soon as possible after they become available. ISM-1696
ISM-1696,What is the control?,"Applying patches, updates or vendor mitigations for security vulnerabilities in operating systems of workstations, servers and network devices within 48 hours if an exploit exists ISM-1696"
ISM-1697,	When to patch security vulnerabilities?,Security vulnerability patches should be installed as soon as possible after they become available ISM-1697
ISM-1697,When should patches be released?,"Within two weeks of release, or within 48 hours if an exploit exists ISM-1697"
ISM-1698,	What are some ways to scan for missing patches or updates on systems?,"Some ways to scan for missing patches or updates include using a vulnerability scanner, running regular system checks, and reviewing logs regularly ISM-1698"
ISM-1698,What are some examples of internet facing services?,"Examples include web servers, email servers and databases ISM-1698"
ISM-1699,What are some examples of vulnerable applications?,"Examples include Microsoft Office Suite (Word, Excel), Adobe Acrobat Reader, Google Chrome Browser, Mozilla Firefox Browser, Apple Safari Browser, Thunderbird Email Client, Outlook Email Client, Gmail Email Client, Yahoo Mail Email Client, Skype Chat Application, Dropbox File Sharing Service, etc ISM-1699"
ISM-1699,	What are some ways to scan for missing patches or updates?,"Some ways to scan for missing patches or updates include using a vulnerability scanner, running regular system checks, and checking with your vendor about available updates ISM-1699"
ISM-1700,	What are some ways to scan for missing patches or updates on your system?,	Using a vulnerability scanner can help you find out if there are any missing patches or updates on your system. ISM-1700
ISM-1700,What are some examples of software vulnerabilities?,"Examples include buffer overflows, cross-site scripting (XSS), SQL injection and denial of service attacks ISM-1700"
ISM-1701,	What are some best practices for system patching?,Some best practices for system patching include using a vulnerability scanner on a regular basis to scan for missing patches or updates for security vulnerabilities in operating systems of Internet facing services. ISM-1701
ISM-1701,What are some examples of internet facing services?,"Examples include web servers, email servers and databases ISM-1701"
ISM-1702,	What are some ways to scan for missing patches or updates on your system?,	Using a vulnerability scanner is one way to scan for missing patches or updates on your system. ISM-1702
ISM-1702,What are some examples of vulnerabilities?,"Examples include buffer overflows, cross-site scripting (XSS), SQL injection attacks, and denial of service (DoS) attacks ISM-1702"
ISM-1703,	What are some ways to scan for missing patches or updates on your system?,	Using a vulnerability scanner such as Tenable Nessus can help you find out if there are any missing patches or updates on your system. ISM-1703
ISM-1703,What is a Vulnerability Scanner?,"A vulnerability scanner is a tool used by system administrators to detect potential weaknesses on their network, such as unpatched software or outdated hardware. ISM-1703"
ISM-1705,Can privileged accounts access backups?,"No, they can't access backups belonging to other accounts ISM-1705"
ISM-1705,	What are some best practices for data backup and restoration?,	Backing up your data regularly is one of the most important steps in protecting it from loss or corruption. It's also essential when recovering from ransomware attacks. ISM-1705
ISM-1706,	What are some best practices for data backup and restoration?,	Backing up your data regularly is one of the most important steps in protecting it from loss or corruption. It's also critical to ensure you have a reliable way to restore your files if they become damaged or lost. ISM-1706
ISM-1706,Can privileged accounts access their own backups?,"No, privileged accounts are not allowed to access their own backups ISM-1706"
ISM-1707,What privileges does a privileged account have?,A privileged account has access to modify or delete backups ISM-1707
ISM-1708,What does this control do?,"This control prevents privileged users, including backup administrators, from modifying or deleting backups while they're retained for compliance purposes ISM-1708"
ISM-1710,How can you secure your WiFi network from unauthorized users?,You can use WPA2 encryption with strong passwords or enable MAC address filtering ISM-1710
ISM-1711,What does User Identity Confidentiality mean? ,It means protecting user identities from being revealed when using EAP-TLS authentication - ISM-1711
ISM-1711,	What are some methods used in wireless network authentication?,"Some methods used in wireless network authentication include WPA/WPA2 Enterprise, PEAP (MSCHAPv2), LEAP, TTLS, EAP-FAST, EAP-SIM, EAP-AKA, EAP-TTLS, EAP-PWD, EAP-MD5, EAP-GTC, EAP-PEAP, EAP-TLS, EAP-SAKE, EAP-SIM, EAP-AKA, EAP-SUITE, EAP-IKEV2 ISM-1711"
ISM-1712,	What does ISM-1712 mean in wireless networking?,	ISM-1712 refers to the IEEE standard for fast basic service set transition which allows devices on a network to quickly switch between access points without losing connectivity ISM-1712
ISM-1713,What is a removable media register?,A removable media register is a process for controlling access to removable storage devices such as USB drives or CDs/DVDs. ISM-1713
ISM-1713,	What are some examples of removable media registers?,"Examples of removable media registers include USB drives, CDs/DVDs, SD cards, etc ISM-1713"
ISM-1714,Where can I find unprivileged access event logs?,The unprivileged access event logs are stored centrally on the server. ISM-1714
ISM-1716,	What happens when you suspend access to a system?,"When you suspend access to a system, it means that no one can log into or use the system until further notice. ISM-1716"
ISM-1717,	What is a'security.txt' file?,The'security.txt' file contains information about how to report security issues with an application or service. ISM-1717
ISM-1722,	What is media destruction?,"	Media Destruction refers to the process of destroying data stored on various types of storage medium such as hard drives, CD's, DVD's etc., so that it cannot be accessed by unauthorized users ISM-1722"
ISM-1723,	What media destruction method can be used to destroy magnetic floppy disks?,"	Magnetic floppies can be destroyed using a furnace/incinerator, hammer mill, disintegrator, degausser or by cutting ISM-1723"
ISM-1724,	What is magnetic hard disk destruction method?,"	Magnetic hard disks are destroyed by using a furnace/incinerator, hammer mill, disintegrator, grinder/sander or degausser ISM-1724"
ISM-1725,	What media destruction method can be used to destroy magnetic tape?,"	Magnetic tapes can be destroyed using a furnace/incinerator, hammer mill, disintegrator, degausser or by cutting ISM-1725"
ISM-1726,	What media destruction method can be used to destroy optical discs?,	Optical Discs can be destroyed using a Furnace / Incinerator ISM-1726
ISM-1727,How can semiconductor memory be destroyed?,"Semiconductor memory can be destroyed by placing it into a furnace/incinerator, hammer mill or disintegrator ISM-1727"
ISM-1727,	What are some media destruction methods?,"Some media destruction methods include ISM-1727 semiconductor memory is destroyed by incineration, hammer mills, and disintegrators ISM-1727"
ISM-1730,	What is a software bill of materials (SBOM)?,	The SBOM is a document which lists all components used in developing a piece of software. ISM-1730
ISM-1731,What is the control?,The control is planning and coordination of intrusion remediation activities ISM-1731
ISM-1731,How can organizations respond to cybersecurity incidents?,"Organizations can respond to cybersecurity incidents by conducting incident analysis, containment, eradication, recovery, and post-incident review ISM-1731"
ISM-1732,What is the control?,All intrusion remediation activities are conducted in a coordinated manner during the same planned outage ISM-1732
ISM-1732,How can organizations respond to cybersecurity incidents?,"Organizations can respond to cybersecurity incidents by identifying vulnerabilities, implementing preventive measures such as firewalls or antivirus software, monitoring systems for suspicious activity, detecting attacks early on, and taking appropriate action when necessary ISM-1732"
ISM-1733,What happens if requests for privileged access to data repositories are not validated?,"If requests for privileged access to data repositories are not validated, they may be granted without proper authorization and could result in unauthorized access or loss of sensitive data. ISM-1733"
ISM-1734,What happens if privileged access to data repositories isn't revalidated?,"If privileged access to data repositories isn't revalidated, it will be automatically disabled after 12 months. ISM-1734"
ISM-1735,	What are some examples of faulty or damaged media that cannot be successfully sanitized?,"	Faulty or damaged media includes corrupted files, unreadable disks, and inaccessible storage devices ISM-1735"
ISM-1735,What happens when faulty or damaged media can't be successfully sanitized? ,It will be destroyed before it gets disposed of - ISM-1735
ISM-1736,What is a Managed Service Register?,"A Managed Service Register (MSR) is a database of all services provided by a company or organization. It contains details about each service including its purpose, cost, supplier, etc. ISM-1736"
ISM-1736,	What are some examples of managed services?,"Some examples of managed services include network management, data backup, disaster recovery, help desk support, server monitoring, application hosting, email hosting, web hosting, etc ISM-1736"
ISM-1736,What is a Managed Service Register?,"A Managed Service Register (MSR) is a database of all services provided by a company or organization. It contains details about each service including its purpose, cost, provider, etc. ISM-1736"
ISM-1737,	What are some examples of managed services?,Some examples of managed services include: ISM-1737
ISM-1738,	What are some examples of managed services and cloud services?,"Managed Services include IT infrastructure management, application hosting, network monitoring, help desk support, data backup and recovery, disaster recovery planning, and more. Cloud services provide access to computing resources such as servers, storage, databases, applications, and other services through a subscription model. ISM-1738"
ISM-1739,What does it mean when a system's security architecture is approved before its development?,"When a system's security architecture is approved, this means that all aspects of the system have been reviewed and deemed secure by experts. ISM-1739"
ISM-1741,What are some examples of ICT equipment? ,"Examples include computers, servers, routers, switches, printers, monitors, etc - ISM-1741"
ISM-1742,	What are some methods used in sanitizing IT equipment?,"Some methods used in sanitizing IT equipment include overwriting data with random characters or patterns, degaussing, physical destruction, and shredding ISM-1742"
ISM-1742,What are some examples of ICT equipment? ,"Computers, tablets and mobile phones - ISM-1742"
ISM-1745,	What are some ways in which you can secure your computer against malicious software attacks?,"	Some ways to secure your computer from malicious software include enabling early launch antimalware, securing boot, trusted boot and measured boot functionalities ISM-1745"
ISM-1745,What does Early Launch Antimalware mean? ,It means that antivirus software will be launched before any other programs are started on your computer - ISM-1745
ISM-1746,What are some examples of when you would use application controls?,"Application controls allow administrators to limit access to certain applications or resources based on user identity, time restrictions, device type, etc. ISM-1746"
ISM-1746,	What are some examples of application controls?,Examples of application controls include: ISM-1746
ISM-1746,What are some examples of when you would use application controls?,"Application controls allow administrators to limit access to certain applications or resources based on user identity. For example, when implementing application control using path rules, only approved users can change file system permissions for approved files and folders ISM-1746"
ISM-1746,What are some examples of when you would use application controls?,"Application controls allow administrators to limit access to certain applications or resources based on user identity, device type, time of day, etc. ISM-1746"
ISM-1747,Where can I find operating system event logs? ,The operating system event logs are stored centrally on the server - ISM-1747
ISM-1748,How can I change my email client's security settings?,You are not able to modify your email client's security settings as they have been set up by administrators and cannot be modified by end-users ISM-1748
ISM-1748,	What are some examples of email client security settings?,"Some examples include enabling TLS encryption, configuring outbound SMTP relay servers, disabling insecure protocols such as POP3, setting up spam filtering rules, etc ISM-1748"
ISM-1749,How can you protect your credentials from being cached by attackers?,You can prevent caching attacks by using different passwords on each site or service ISM-1749
ISM-1749,What does Cached Credentials mean? ,"It means that your login details will be stored for future use, but only up to 1 previous session - ISM-1749"
ISM-1750,	What are some examples of administrative infrastructures?,"Examples include ISM-1750, ISM-2346, etc ISM-1750"
ISM-1751,	When to patch security vulnerabilities?,Security vulnerability patches must be installed as soon as possible after they become available. ISM-1751
ISM-1751,When should patches and updates be installed?,"Within two weeks of release, or within 48 hours if an exploit exists ISM-1751"
ISM-1751,When should patches and updates be applied?,"Within two weeks of release, or within 48 hours if an exploit exists ISM-1751"
ISM-1752,What is a Vulnerability Scanner?,"A vulnerability scanner is a tool used by system administrators and IT professionals to detect potential weaknesses on their network, servers, applications, etc. ISM-1752"
ISM-1752,	What are some ways to scan for missing patches or updates on your system?,	Using a vulnerability scanner is one way to scan for missing patches or updates on your system. ISM-1752
ISM-1753,What happens when network devices or other ICT equipment become unsupported?,"When network devices or other ICT equipment becomes unsupported, they must be replaced with newer models ISM-1753"
ISM-1754,What is the process for resolving security vulnerabilities? ,"Software developers identify and fix security vulnerabilities through testing, patching or updating existing code - ISM-1754"
ISM-1755,What are some key components of a Vulnerability Disclosure Policy?,The main component of any VDP should be clearly defined procedures for reporting security issues. It also needs to include guidelines on how to handle reports as well as what actions will be taken once a report has been received. ISM-1755
ISM-1755,	What are some best practices for developing a vulnerability disclosure program?,	The first step in creating a vulnerability disclosure program is to develop a clear set of guidelines on how to report potential issues. This includes providing contact information as well as instructions on what type of data needs to be provided when reporting a bug or issue. It's also important to provide rewards for those who find bugs so they can feel appreciated for their efforts. ISM-1755
ISM-1757,	What is web application event logging?,	Web Application Event Logging refers to storing information about events in a centralized location so they can be accessed by multiple users or applications ISM-1757
ISM-1757,Where can I find web application event logs? ,The web application event logs are stored centrally on the server - ISM-1757
ISM-1758,	What is database event logging?,	Database Event Logging refers to storing information about events in databases. ISM-1758
ISM-1758,Where are database event logs stored? ,They are stored on centralized servers - ISM-1758
ISM-1766,	What is the preferred hash length when using SHA-2 for hashing?,The preferred hash length when using SHA-2 for hashing is 224 bits ISM-1766
ISM-1769,	What are some examples of symmetric encryption algorithms?,"	Examples include AES (Advanced Encryption Standard), DES (Data Encryption Standard) ISM-1769"
ISM-1771,	What are some encryption algorithms used in Internet Protocol Security (IPSec)?,"	ISM-1771 AES is used for encrypting IPsec connections, preferably ENCR_AES_GCM_16 ISM-1771"
ISM-1771,What encryption algorithm should be used when creating an IPSec connection?,The preferred method of encryption for IPSec connections is AES with GCM-128. ISM-1771
ISM-1772,	What are pseudorandom function algorithms in Internet protocol security (IPSec)?,	Pseudorandom function algorithms are used by IPSec to generate keys for encryption and authentication purposes. ISM-1772
ISM-1775,Where are gateway event logs stored?,They are stored on central servers ISM-1775
ISM-1775,	What does gateway event logging and alerting provide in terms of functionality?,	Gateway Event Logging and Alerting provides centralized storage of gateway events ISM-1775
ISM-1777,Where can I find web proxy event logs?,The web proxy event logs are stored centrally on the server. ISM-1777
ISM-1777,	What does ISM-1777 refer to in this context?,	It refers to a web proxy event log. ISM-1777
ISM-1778,What happens when manual import of data fails security check?,All data that fails security checks is quarantined until it can be reviewed by authorized personnel who will either approve or reject its release ISM-1778
ISM-1778,	What are some examples of manual imports of data?,Examples include: ISM-1778
ISM-1779,	What are some examples of manual exports of data?,Examples include: ISM-1779
ISM-1779,What happens when manual exports fail security checks?,All data that fails security checks is quarantined until it can be reviewed and either approved or rejected for release ISM-1779
ISM-1780,	What are some secure software design and development practices?,Some secure software design and development practices include ISM-1780 SecDevOps practices ISM-1780
ISM-1780,What are some examples of SecDevOps practices?,"Some examples include continuous integration, automated testing and deployment, and monitoring. ISM-1780"
ISM-1781,	What are some examples of network encryption standards?,"Some examples of network encryption standards include IPsec, SSL/TLS, SSH, WPA2, etc ISM-1781"
ISM-1781,What does All data communicated over network infrastructure mean?,"It means all of the data sent and received by devices connected to a computer network, such as the internet or intranet, are protected using encryption techniques ISM-1781"
ISM-1782,	What are some examples of protective DNS services?,"Some examples of protective DNS services include DNS sinkhole, DNS blacklisting, and DNS whitelisting ISM-1782"
ISM-1783,	What does ISM-1783 mean in relation to public IP addresses?,	ISM-1783 refers to Internet Security Management - Recommendation 1783 which states that all public IP addresses must be registered with a Regional Internet Registry (RIR) using a Resource Ownership Authorization Record (ROAR). ISM-1783
ISM-1784,How can organizations ensure they have effective incident management policies in place?,Organizations need to develop and implement an incident management policy which includes regular exercises of the incident response plan ISM-1784
ISM-1785,	What are some best practices in managing third party relationships?,"	Some best practices include developing a supplier relationship management (SRM) policy, conducting due diligence on potential partners, establishing clear expectations with vendors, and monitoring performance against agreed upon metrics ISM-1785"
ISM-1785,What are some steps involved in developing a Supply Relationship Management Policy?,"The first step involves identifying key stakeholders who will be affected by this policy. Next, you should define what your goals for the policy are. Then, you can begin drafting the actual policy itself. Finally, it's important to implement and maintain the policy so that everyone understands how they need to act according to its guidelines ISM-1785"
ISM-1786,How can organizations mitigate cyber supply chain risk through effective supplier relationship management?,Organizations can mitigate cyber supply chain risk by developing an approved supplier list which includes all vendors who are authorized to provide services or products to the company. ISM-1786
ISM-1786,What are some ways of developing an approved supplier list?,"Developing an approved supplier list involves creating a database with all relevant details about each potential vendor, such as contact information, product offerings, pricing, etc. ISM-1786"
ISM-1787,What types of applications can be used? ,"The application must meet the requirements for security, reliability, performance, scalability, etc., as specified by the organization - ISM-1787"
ISM-1788,"How can organizations mitigate cyber supply chain risk when sourcing applications, ICT equipment and services?","Organizations can mitigate cyber supply chain risk by identifying multiple potential suppliers for sourcing critical applications, ICT equipment and services. ISM-1788"
ISM-1788,What should be considered when identifying multiple potential suppliers?,"When selecting multiple potential suppliers, it's important to consider factors such as cost, quality of service, reliability, and reputation. ISM-1788"
ISM-1789,What does sufficient spares mean?,"It means having enough spare parts or supplies for something, such as computers or other technology ISM-1789"
ISM-1789,How can organizations ensure sufficient spare parts of critical IT equipment are available at all times?,Organizations can ensure sufficient spare parts of critical IT equipment by maintaining inventory levels based on historical usage data or forecast demand. ISM-1789
ISM-1790,What does control mean? ,Control refers to the ability of an organization or individual to direct its own actions and ensure they meet certain standards - ISM-1790
ISM-1790,	What should organizations do to mitigate cyber supply chain risk?,"Organizations must ensure that all deliveries of applications, ICT equipment and services are made with proper care and attention so as not to compromise the integrity of these items ISM-1790"
ISM-1790,What does control mean? ,Control refers to the ability of an organization or individual to direct its own actions and ensure they align with established policies and procedures - ISM-1790
ISM-1791,What does integrity mean? ,Integrity refers to the quality or state of being complete or undivided - ISM-1791
ISM-1792,What does control mean? ,Control refers to the process of ensuring that something meets certain standards or requirements - ISM-1792
ISM-1793,	What are some examples of managed services and cloud services?,"Some examples of managed services include network management, data storage, disaster recovery, help desk support, application hosting, and email hosting. Cloud services can provide similar functionality as well as additional features such as backup and archiving, analytics, and machine learning capabilities ISM-1793"
ISM-1794,What does minimum notification period mean?,It means that service providers must give at least 1-month notice before making any major changes to their services or terms and conditions ISM-1794
ISM-1794,	What are some examples of managed services and cloud services?,"Managed Services include IT infrastructure management, application hosting, network monitoring, data storage, help desk support, etc., while Cloud Services provide access to computing resources such as servers, networks, applications, software, databases, etc. ISM-1794"
